gbif_download_key	input_checklist	gbif_download_created	gbif_download_status	gbif_download_doi
0003809-190415153152247	NA	2019-04-24T17:52:31Z	SUCCEEDED	https://doi.org/10.15468/dl.7gwm6j
0008507-190621201848488	NA	2019-07-09T08:31:24Z	SUCCEEDED	https://doi.org/10.15468/dl.1eycss
0030713-190918142434337	NA	2019-10-28T09:05:48Z	SUCCEEDED	https://doi.org/10.15468/dl.g1z7y7
0000537-200127171203522	NA	2020-01-28T14:23:32Z	SUCCEEDED	https://doi.org/10.15468/dl.apwtzv
0002883-200127171203522	NA	2020-02-01T18:40:05Z	SUCCEEDED	https://doi.org/10.15468/dl.oztfun
0003154-200613084148143	NA	2020-06-17T08:36:35Z	SUCCEEDED	https://doi.org/10.15468/dl.97jyjt
0003160-200613084148143	NA	2020-06-17T08:52:20Z	SUCCEEDED	https://doi.org/10.15468/dl.as99qq
0123848-200613084148143	NA	2020-11-27T14:29:15Z	SUCCEEDED	https://doi.org/10.15468/dl.49ksep
0124676-200613084148143	NA	2020-11-28T19:34:08Z	SUCCEEDED	https://doi.org/10.15468/dl.v5xe9r
0173465-210914110416597		2022-03-05T15:42:33Z	SUCCEEDED	https://doi.org/10.15468/dl.8aasr6
